name,stem,Adams filtration,weight,tautorsion,shift,h0info,h0target,h1info,h1target,h2info,h2target,drinfo,drtarget
1,0,0,0,0,0,,h0,,h1,,h2,,
h0,0,1,0,0,0,,h0^2,,,,h0 h2,,
h0^2,0,2,0,0,0,,h0^3,,,t,h1^3,,
h0^3,0,3,0,0,0,,loc,,,,,,
h1,1,1,1,0,0,,,,h1^2,,,,
h1^2,2,2,2,0,0,,,,h1^3,,,,
h2,3,1,2,0,0,,h0 h2,,,,h2^2,,
h0 h2,3,2,2,0,0,t,h1^3,,,,,,
h1^3,3,3,3,0,0,,,,h1^4,,,,
h1^4,4,4,4,1,0,,,,loc,,,,
h2^2,6,2,4,0,0,,,,,,h1^2 h3,,
h3,7,1,4,0,0,,h0 h3,,h1 h3,,,,
h0 h3,7,2,4,0,0,,h0^2 h3,,,,,,
h0^2 h3,7,3,4,0,0,,h0^3 h3,,,,,,
h0^3 h3,7,4,4,0,0,,,,,,,,
h1 h3,8,2,5,0,0,,,,h1^2 h3,,,,
c0,8,3,5,0,0,,,,h1 c0,,,,
h1^2 h3,9,3,6,0,0,,,,,,,,
h1 c0,9,4,6,0,0,,,,loc,,,,
P h1,9,5,5,0,0,,,,P h1^2,,,,
P h1^2,10,6,6,0,0,,,,P h1^3,,,,
P h2,11,5,6,0,0,,P h0 h2,,,,h0^2 d0,,
P h0 h2,11,6,6,0,0,t,P h1^3,,,,,,
P h1^3,11,7,7,0,0,,,,loc,,,,
h3^2,14,2,8,0,0,,,,,,,,
d0,14,4,8,0,0,,h0 d0,,h1 d0,,h0 e0,,
h0 d0,14,5,8,0,0,,h0^2 d0,,,,,,
h0^2 d0,14,6,8,0,0,,,,,t,,,
h0 h4,15,2,8,0,0,,h0^2 h4,,,,h0 h2 h4,,h0 d0
h0^2 h4,15,3,8,0,0,,h0^3 h4,,,t,h1^3 h4,,h0^2 d0
h0^3 h4,15,4,8,0,0,,h0^4 h4,,,,,,
h1 d0,15,5,9,0,-1,,,,,,,,
h0^4 h4,15,5,8,0,1,,h0^5 h4,,,,,,
h0^5 h4,15,6,8,0,0,,h0^6 h4,,,,,,
h0^6 h4,15,7,8,0,0,,h0^7 h4,,,,,,
h0^7 h4,15,8,8,0,0,,,,,,,,
h1 h4,16,2,9,0,0,,,,h1^2 h4,,,,
P c0,16,7,9,0,0,,,,P h1 c0,,,,
h1^2 h4,17,3,10,0,0,,,,h1^3 h4,,,,
h0 e0,17,5,10,0,0,,,,,,h0 h2 e0,,
P h1 c0,17,8,10,0,0,,,,loc,,,,
P^2 h1,17,9,9,0,0,,,,P^2 h1^2,,,,
h2 h4,18,2,10,0,0,,h0 h2 h4,,,,h2^2 h4,,
h0 h2 h4,18,3,10,0,0,t,h1^3 h4,,,,,,
h1^3 h4,18,4,11,0,0,,,,,,,,
